Simulation no.;Deadlock;Pattern;Train no.;Train name;Train class;Train category;Train formation ID;Abbreviation of train formation;Station index;Station abbreviation;Station name;Line abbr.;Route;Scheduled track;Actual track;Replatforming;Scheduled arrival;Actual arrival;SchedDep;Actual departure;Sched. run time;Total (scheduled run time);Actual run time;Total (actual run time);Scheduled travel time;Actual travel time;Scheduled dwell time;Actual dwell time;StopType;Change of direction of travel;Arrival lateness;Departure lateness;Difference scheduled arrival;Total (Difference scheduled arrival);Difference actual arrival;Total (Difference actual arrival);Difference scheduled departure;Total (Difference scheduled departure);Difference actual departure;Total (Difference actual departure);Progression of arrival lateness (sec);Progression of departure lateness (s);Number of passengers;Boarding passengers;Alighting passengers;Boarding transfer passengers;Alighting transfer passengers
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1083;1083;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:44:18;08:44:58;08:45:00;08:45:42;;;;;;;00:00:42;00:00:44;Scheduled stop;0;00:00:40;00:00:42;;;;;;;;;;2;0;0;0;0;0
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1083;1083;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;09:02:18;09:21:34;09:03:00;09:22:08;00:17:18;00:17:18;00:35:52;00:35:52;00:17:18;00:35:52;00:00:42;00:00:34;Scheduled stop;0;00:19:16;00:19:08;00:18:00;00:18:00;00:36:36;00:36:36;00:18:00;00:18:00;00:36:26;00:36:26;1114;−8;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1083;1083;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:44:18;08:45:10;08:45:00;08:45:41;;;;;;;00:00:42;00:00:31;Scheduled stop;0;00:00:52;00:00:41;;;;;;;;;;−11;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1083;1083;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;09:02:18;09:10:34;09:03:00;09:11:16;00:17:18;00:17:18;00:24:53;00:24:53;00:17:18;00:24:53;00:00:42;00:00:42;Scheduled stop;0;00:08:16;00:08:16;00:18:00;00:18:00;00:25:24;00:25:24;00:18:00;00:18:00;00:25:35;00:25:35;455;0;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1083;1083;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:44:18;08:45:02;08:45:00;08:46:10;;;;;;;00:00:42;00:01:08;Scheduled stop;0;00:00:44;00:01:10;;;;;;;;;;26;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1083;1083;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;09:02:18;09:16:21;09:03:00;09:16:58;00:17:18;00:17:18;00:30:11;00:30:11;00:17:18;00:30:11;00:00:42;00:00:37;Scheduled stop;0;00:14:03;00:13:58;00:18:00;00:18:00;00:31:19;00:31:19;00:18:00;00:18:00;00:30:48;00:30:48;773;−5;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1083;1083;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:44:18;08:44:53;08:45:00;08:45:59;;;;;;;00:00:42;00:01:06;Scheduled stop;0;00:00:35;00:00:59;;;;;;;;;;24;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1083;1083;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;09:02:18;09:15:08;09:03:00;09:15:41;00:17:18;00:17:18;00:29:09;00:29:09;00:17:18;00:29:09;00:00:42;00:00:33;Scheduled stop;0;00:12:50;00:12:41;00:18:00;00:18:00;00:30:15;00:30:15;00:18:00;00:18:00;00:29:42;00:29:42;711;−9;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1083;1083;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:44:18;08:44:41;08:45:00;08:45:49;;;;;;;00:00:42;00:01:08;Scheduled stop;0;00:00:23;00:00:49;;;;;;;;;;26;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1083;1083;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;09:02:18;09:11:28;09:03:00;09:12:00;00:17:18;00:17:18;00:25:39;00:25:39;00:17:18;00:25:39;00:00:42;00:00:32;Scheduled stop;0;00:09:10;00:09:00;00:18:00;00:18:00;00:26:47;00:26:47;00:18:00;00:18:00;00:26:11;00:26:11;501;−10;0;0;0;0;0
6;0;/Ner (Southbound)/Solna - Älvsjö (1001);1083;1083;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:44:18;08:44:37;08:45:00;08:45:17;;;;;;;00:00:42;00:00:40;Scheduled stop;0;00:00:19;00:00:17;;;;;;;;;;−2;0;0;0;0;0
